lon,lat,count,fagus,tsuga,bio1.0,bio12.0,bio2.0,bio4.0,bio7.0,bio15.0,albx,alby
-97.7,38.8,5,0,0,0.438503165,-1.164828337,1.159761273,0.511601886,0.798537785,1.357375461,-150987,152901
-97.7,39.3,9,0,0,0.316813382,-1.143098223,0.711390743,0.602843634,0.765763437,1.560401166,-149953,208801
-97.7,39.8,8,0,0,0.207465498,-1.076453658,0.645800778,0.671349118,0.803904301,1.580368296,-148920,264694
-97.7,40.3,4,0,0,0.049484059,-1.096645266,0.827113177,0.735637452,0.898268946,1.503645182,-147888,320575
-97.7,41.3,4,0,0,-0.224720654,-1.119192591,1.269444051,0.868612432,1.096646628,1.539731162,-145823,432281
-97.7,41.8,7,0,0,-0.455993839,-0.9837047,1.680092084,0.953479911,1.23195253,1.739986859,-144791,488097
-97.7,42.8,8,0,0,-0.489347374,-1.584927176,1.329199745,1.144366788,1.364523068,1.898366517,-142730,599632
-97.7,44.8,1,0,0,-1.036025489,-1.796077413,0.649590583,1.560721705,1.629477397,1.519835029,-138617,822161
-97.7,45.8,1,0,0,-1.225494836,-1.752639542,0.94320036,1.713051635,1.877206684,1.811896127,-136567,933069
-97.7,46.3,1,0,0,-1.308336759,-1.756369342,1.05348736,1.817397733,2.016624386,1.873373659,-135544,988414
-97.7,46.8,2,0,0,-1.393392492,-1.83578508,0.94871079,1.900146603,2.078433946,1.80813748,-134523,1043678
-97.7,47.3,1,0,0,-1.496648664,-1.898738292,0.660082216,1.967996869,2.099664907,1.71998423,-133503,1098854
-97.7,47.8,1,0,0,-1.549189797,-2.027762086,0.475559518,2.048528957,2.124183141,1.774967275,-132485,1153937
-97.2,37.8,5,0,0,0.596712194,-0.866291962,0.592771626,0.384363857,0.449976021,0.809608591,-109404,40404
-97.2,38.3,2,0,0,0.488252621,-0.902989832,0.766024618,0.437466848,0.564908837,1.005217731,-108665,96311
-97.2,38.8,6,0,0,0.431394421,-0.93571492,0.649615297,0.496302449,0.644533697,1.203151369,-107927,152219
-97.2,39.3,14,0,0,0.300249384,-0.89092859,0.512313045,0.554000099,0.672103266,1.383232491,-107188,208124
-97.2,39.8,12,0,0,0.11524349,-0.930487116,0.789391533,0.633531461,0.803362397,1.531048624,-106450,264021
-97.2,40.3,5,0,0,-0.064335266,-1.030649547,1.158354264,0.723282697,0.957956744,1.517195479,-105712,319906
-97.2,40.8,2,0,0,-0.065352202,-1.175616612,0.743924096,0.775138714,0.894229678,1.401988671,-104974,375775
-97.2,41.3,2,0,0,-0.233063948,-1.039500782,0.77655801,0.956024303,1.053802871,1.352812103,-104236,431622
-97.2,41.8,3,0,0,-0.416051756,-1.132868628,0.90430351,1.050163544,1.193164716,1.483407375,-103498,487443
-97.2,42.3,2,0,0,-0.485046098,-1.361231196,0.947394968,1.092477685,1.236340284,1.514470954,-102761,543233
-97.2,42.8,1,0,0,-0.414328444,-1.549004713,1.491101217,1.176447494,1.431990105,1.803152132,-102025,598986
-97.2,44.3,1,0,0,-0.928553271,-1.737960513,0.519097538,1.406922959,1.436992295,1.778788267,-99819,765978
-97.2,44.8,1,0,0,-1.054807388,-1.71627966,0.447840335,1.526736094,1.562617292,1.758989755,-99085,821535
-97.2,45.3,1,0,0,-1.15494935,-1.711545149,0.573037708,1.603490376,1.696458387,1.79221099,-98352,877028
-97.2,45.8,3,0,0,-1.279838322,-1.786204131,0.699632717,1.699049616,1.828016815,1.921483269,-97620,932452
-97.2,46.3,7,0,0,-1.256284366,-1.824429941,0.711464886,1.82800054,1.951845193,1.929161194,-96888,987801
-97.2,47.3,1,0,0,-1.457927322,-1.893638238,0.430721016,2.012969848,2.08951463,1.783051882,-95429,1098251
-97.2,47.8,3,0,0,-1.489571529,-1.934055376,0.366198878,2.139992546,2.153946171,1.820168433,-94702,1153338
-96.7,37.3,3,0,0,0.651318849,-0.335315158,1.097216276,0.134023044,0.382039612,0.679713753,-66196,-15962
-96.7,37.8,9,0,0,0.559381749,-0.476189203,1.008781804,0.262459232,0.419492675,0.712816955,-65752,39943
-96.7,38.3,3,0,0,0.463758705,-0.592147561,0.779487077,0.369152831,0.496583925,0.9144784,-65308,95853
-96.7,38.8,11,0,0,0.32657534,-0.688396118,0.469311921,0.439945067,0.546704201,1.134160094,-64864,151764
-96.7,39.3,20,0,0,0.332210098,-0.55362732,0.449768048,0.513642932,0.593506357,1.224824877,-64420,207672
-96.7,39.8,12,0,0,0.182391894,-0.688432387,0.869882498,0.609996786,0.784275708,1.52505356,-63976,263572
-96.7,40.3,4,0,0,-0.016962058,-0.934498165,1.126201,0.675601523,0.902947661,1.403861449,-63533,319460
-96.7,40.8,5,0,0,-0.114816761,-1.10202174,0.858869309,0.859162764,0.977610348,1.360771799,-63089,375332
