"Data dictionary for Thompson and others (2023, A gridded database of the modern distributions of climate, woody plant taxa, and ecoregions for the continental United States and Canada, U.S. Geological Survey data release, https://doi.org/10.5066/P9FPD80E)",,,,
File Name,Field Name,Units,Valid values,Description
,Acacia greggii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acacia rigidula,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acacia roemeriana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acacia tortuosa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acacia wrightii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer barbatum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer circinatum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer glabrum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer grandidentatum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer leucoderme,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer macrophyllum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer negundo,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer nigrum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer pensylvanicum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer rubrum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer saccharinum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer saccharum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acer spicatum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Aesculus californica,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Aesculus glabra,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Aesculus octandra,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Aesculus parviflora,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Aesculus pavia,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Aesculus sylvatica,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Agave deserti,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Agave lecheguilla,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Agave neomexicana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Agave utahensis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Allionia incarnata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
