"Data dictionary for Thompson and others (2023, A gridded database of the modern distributions of climate, woody plant taxa, and ecoregions for the continental United States and Canada, U.S. Geological Survey data release, https://doi.org/10.5066/P9FPD80E)",,,,
File Name,Field Name,Units,Valid values,Description
,Colorado_Rockies_Forest ,Number,80,"Colorado Rockies Forest (TEMPERATE CONIFER, BROADLEAF AND MIXED FORESTS, Coniferous Forests)"
,Arizona_Mountains_Forest ,Number,81,"Arizona Mountains Forest (TEMPERATE CONIFER, BROADLEAF AND MIXED FORESTS, Coniferous Forests)"
,Piney_Woods_Forest ,Number,82,"Piney Woods Forest (TEMPERATE CONIFER, BROADLEAF AND MIXED FORESTS, Coniferous Forests)"
,Atlantic_Coastal_Pine_Barrens ,Number,83,"Atlantic Coastal Pine Barrens (TEMPERATE CONIFER, BROADLEAF AND MIXED FORESTS, Coniferous Forests)"
,Middle_Atlantic_Coastal_Forest ,Number,84,"Middle Atlantic Coastal Forest (TEMPERATE CONIFER, BROADLEAF AND MIXED FORESTS, Coniferous Forests)"
,Southeastern_Conifer_Forest ,Number,85,"Southeastern Conifer Forest (TEMPERATE CONIFER, BROADLEAF AND MIXED FORESTS, Coniferous Forests)"
,Florida_Sand_Pine_Scrub ,Number,86,"Florida Sand Pine Scrub (TEMPERATE CONIFER, BROADLEAF AND MIXED FORESTS, Coniferous Forests)"
,Palouse_Grassland ,Number,87,"Palouse Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,California_Central_Valley_Grassland ,Number,88,"California Central Valley Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Canadian_Aspen_Forest_and_Parkland ,Number,89,"Canadian Aspen Forest and Parkland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Northern_Mixed_Grassland ,Number,90,"Northern Mixed Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Montana_Valley_and_Foothill_Grassland ,Number,91,"Montana Valley and Foothill Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Northwestern_Mixed_Grasslands ,Number,92,"Northwestern Mixed Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Northern_Tall_Grassland ,Number,93,"Northern Tall Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Central_Tall_Grassland ,Number,94,"Central Tall Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Flint_Hills_Tall_Grassland ,Number,95,"Flint Hills Tall Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Nebraska_Sand_Hills_Mixed_Grassland ,Number,96,"Nebraska Sand Hills Mixed Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Western_Short_Grassland ,Number,97,"Western Short Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Central_and_Southern_Mixed_Grassland ,Number,98,"Central and Southern Mixed Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Central_Forest_Grassland_Transition_Zone ,Number,99,"Central Forest/Grassland Transition Zone (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Edwards_Plateau_Savanna ,Number,100,"Edwards Plateau Savanna (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Texas_Blackland_Prairies ,Number,101,"Texas Blackland Prairies (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Western_Gulf_Coastal_Grassland ,Number,102,"Western Gulf Coastal Grassland (GRASSLANDS, SAVANNAS, SHRUBLANDS, Grasslands/Savanna/Shrub)"
,Everglades,Number,103,"Everglades (GRASSLANDS, SAVANNAS, SHRUBLANDS, Flooded Grasslands)"
,California_Coastal_Sage_and_Chaparral ,Number,105,"California Coastal Sage and Chaparral (MEDITERRANEAN AND XERIC FORMATIONS, Mediterranean Scrub and Savanna)"
,California_Interior_Chaparral_and_Woodland ,Number,106,"California Interior Chaparral and Woodland (MEDITERRANEAN AND XERIC FORMATIONS, Mediterranean Scrub and Savanna)"
,California_Montane_Chaparral_and_Woodland ,Number,107,"California Montane Chaparral and Woodland (MEDITERRANEAN AND XERIC FORMATIONS, Mediterranean Scrub and Savanna)"
,Sonoran_Desert ,Number,111,"Sonoran Desert (MEDITERRANEAN AND XERIC FORMATIONS, Xeric Shrublands/Scrublands/Deserts)"
,Chihuahuan_Desert ,Number,112,"Chihuahuan Desert (MEDITERRANEAN AND XERIC FORMATIONS, Xeric Shrublands/Scrublands/Deserts)"
,Tamaulipan_Mezquital ,Number,115,"Tamaulipan Mezquital (MEDITERRANEAN AND XERIC FORMATIONS, Xeric Shrublands/Scrublands/Deserts)"
,Snake_Columbia_Shrub_Steppe ,Number,118,"Snake/Columbia Shrub Steppe (MEDITERRANEAN AND XERIC FORMATIONS, Xeric Shrublands/Scrublands/Deserts)"
,Great_Basin_Shrub_Steppe ,Number,119,"Great Basin Shrub Steppe (MEDITERRANEAN AND XERIC FORMATIONS, Xeric Shrublands/Scrublands/Deserts)"
,Wyoming_Basin_Shrub_Steppe ,Number,120,"Wyoming Basin Shrub Steppe (MEDITERRANEAN AND XERIC FORMATIONS, Xeric Shrublands/Scrublands/Deserts)"
,Colorado_Plateau_Shrubland ,Number,121,"Colorado Plateau Shrubland (MEDITERRANEAN AND XERIC FORMATIONS, Xeric Shrublands/Scrublands/Deserts)"
,Mojave_Desert ,Number,122,"Mojave Desert (MEDITERRANEAN AND XERIC FORMATIONS, Xeric Shrublands/Scrublands/Deserts)"
,Interior_Alaska_Yukon_Lowland_Taiga ,Number,125,"Interior Alaska/Yukon Lowland Taiga (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Alaska_Peninsula_Montane_Taiga ,Number,126,"Alaska Peninsula Montane Taiga (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Cook_Inlet_Taiga ,Number,127,"Cook Inlet Taiga (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Copper_Plateau_Taiga ,Number,128,"Copper Plateau Taiga (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Northwest_Territories_Taiga ,Number,129,"Northwest Territories Taiga (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Yukon_Interior_Dry_Forest ,Number,130,"Yukon Interior Dry Forest (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Northern_Cordillera_Forest ,Number,131,"Northern Cordillera Forest (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Muskwa_Slave_Lake_Forest ,Number,132,"Muskwa/Slave Lake Forest (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Northern_Canadian_Shield_Taiga ,Number,133,"Northern Canadian Shield Taiga (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Mid-Continental_Canadian_Forest ,Number,134,"Mid-Continental Canadian Forest (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Midwestern_Canadian_Shield_Forest ,Number,135,"Midwestern Canadian Shield Forest (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Central_Canadian_Shield_Forest ,Number,136,"Central Canadian Shield Forest (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Southern_Hudson_Bay_Taiga ,Number,137,"Southern Hudson Bay Taiga (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Eastern_Canadian_Shield_Taiga ,Number,138,"Eastern Canadian Shield Taiga (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Eastern_Canadian_Forest ,Number,139,"Eastern Canadian Forest (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Newfoundland_Highland_Forest  ,Number,140,"Newfoundland Highland Forest (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,South_Avalon-Burin_Oceanic_Barrens,Number,141,"South Avalon-Burin Oceanic Barrens (BOREAL FOREST, TAIGA AND TUNDRA, Boreal Forest/Taiga)"
,Beringia_Lowland_Tundra ,Number,142,"Beringia Lowland Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Beringia_Upland_Tundra ,Number,143,"Beringia Upland Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Alaska_St._Elias_Range_Tundra ,Number,144,"Alaska/St. Elias Range Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Pacific_Coastal_Mountain_Tundra_and_Ice_Fields ,Number,145,"Pacific Coastal Mountain Tundra and Ice Fields (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Interior_Yukon_Alaska_Alpine_Tundra ,Number,146,"Interior Yukon/Alaska Alpine Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Ogilvie_MacKenzie_Alpine_Tundra ,Number,147,"Ogilvie/MacKenzie Alpine Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Brooks_British_Range_Tundra ,Number,148,"Brooks/British Range Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Arctic_Foothills_Tundra ,Number,149,"Arctic Foothills Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Arctic_Coastal_Tundra ,Number,150,"Arctic Coastal Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Low_Arctic_Tundra ,Number,151,"Low Arctic Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Middle_Arctic_Tundra ,Number,152,"Middle Arctic Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,High_Arctic_Tundra ,Number,153,"High Arctic Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Davis_Highlands_Tundra ,Number,154,"Davis Highlands Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Baffin_Coastal_Tundra ,Number,155,"Baffin Coastal Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,Torngat_Mountain_Tundra ,Number,156,"Torngat Mountain Tundra (BOREAL FOREST, TAIGA AND TUNDRA, Tundra)"
,ALL_WWF_ECOREGIONS ,Number,1 to 156,ALL WWF ECOREGIONS
,,,,
modern_climate_and_bioclimate_on_25km_grid.nc ,y,meters,-3802596.0 to 4242352.0,y coordinate of projection
,x,meters,-3414576.0 to 3802596.0,x coordinate of projection
,ID,NA,2904 to 32582,unique grid point identifier
,latitude,decimal degrees,2.172780 to 87.894984,"latitude of grid point in decimal degrees (These grid-point latitude values were recalculated using 6 decimal places whereas the latitudes in the .csv file have 3 decimal places. See discussion in the ""Evolution of the atlas over the 16 years between Volumes A&B and G"" section above.)"
,longitude,decimal degrees,-186.782172 to -9.989273,"longitude of grid point in decimal degrees (These grid-point longitude values were recalculated using 6 decimal places whereas the longitudes in the .csv file have 3 decimal places. See discussion in the ""Evolution of the atlas over the 16 years between Volumes A&B and G"" section above.)"
,row,NA,66 to 311,row identifier (y-coordinate)
,col,NA,1 to 257,column identifier (x-coordinate)
,elevation,meters,-115 to 3736 9999?,elevation of grid point in meters; 9999 = missing elevation value assigned for 35 coastal grid points. See readme file for more details.
,albers_conical_equal_area,NA,NA,Albers conical equal-area projection details
,,,,
,Other variables in this file include climate and bioclimatic data. These variables are listed above in the description of the Modern_Climate_and_Bioclimate_on_25km_Grid.csv file and are not repeated here.,,,
,,,,
presence_absence_of_grouped_taxa_on_25km_grid.nc ,y,meters,-3802596.0 to 4242352.0,y coordinate of projection
,x,meters,-3414576.0 to 3802596.0,x coordinate of projection
,ID,NA,2904 to 32582,unique grid point identifier
,latitude,decimal degrees,2.172780 to 87.894984,"latitude of grid point in decimal degrees (These grid-point latitude values were recalculated using 6 decimal places whereas the latitudes in the .csv file have 3 decimal places. See discussion in the ""Evolution of the atlas over the 16 years between Volumes A&B and G"" section above.)"
,longitude,decimal degrees,-186.782172 to -9.989273,"longitude of grid point in decimal degrees (These grid-point longitude values were recalculated using 6 decimal places whereas the longitudes in the .csv file have 3 decimal places. See discussion in the ""Evolution of the atlas over the 16 years between Volumes A&B and G"" section above.)"
,row,NA,66 to 311,row identifier (y-coordinate)
,col,NA,1 to 257,column identifier (x-coordinate)
,elevation,meters,-115 to 3736 9999?,elevation of grid point in meters; 9999 = missing elevation value assigned for 35 coastal grid points. See readme file for more details.
,albers_conical_equal_area,NA,NA,Albers conical equal-area projection details
,,,,
,"Other variables in this file provide presence-absence data for the grouped plant taxa in the data set.  These grouped taxa are listed above in the description of the Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv file and are not repeated here. A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent.",,,
,,,,
presence_absence_of_individual_species_on_25km_grid.nc ,y,meters,-3802596.0 to 4242352.0,y coordinate of projection
,x,meters,-3414576.0 to 3802596.0,x coordinate of projection
,ID,NA,2904 to 32582,unique grid point identifier
,latitude,decimal degrees,2.172780 to 87.894984,"latitude of grid point in decimal degrees (These grid-point latitude values were recalculated using 6 decimal places whereas the latitudes in the .csv file have 3 decimal places. See discussion in the ""Evolution of the atlas over the 16 years between Volumes A&B and G"" section above.)"
,longitude,decimal degrees,-186.782172 to -9.989273,"longitude of grid point in decimal degrees (These grid-point longitude values were recalculated using 6 decimal places whereas the longitudes in the .csv file have 3 decimal places. See discussion in the ""Evolution of the atlas over the 16 years between Volumes A&B and G"" section above.)"
,row,NA,66 to 311,row identifier (y-coordinate)
,col,NA,1 to 257,column identifier (x-coordinate)
,elevation,meters,-115 to 3736 9999?,elevation of grid point in meters; 9999 = missing elevation value assigned for 35 coastal grid points. See readme file for more details.
,albers_conical_equal_area,NA,NA,Albers conical equal-area projection details
,,,,
,"Other variables in this file provide presence-absence data for the individual plant species in the data set.  These species are listed above in the description of the Presence_Absence_of_Individual_Species_on_25km_Grid.csv file and are not repeated here. A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent.",,,
,,,,
Group_Bioclimate_AE_PE_MCR_weights.csv,Actual_Evapotranspiration/Potential_Evapotranspiration_(AE/PE)_midpoint,NA,0.023 to 0.999,moisture index (calculated as actual evapotranspiration divided by potential evapotranspiration) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Bioclimate_GDD5_MCR_weights.csv,Growing_Degree_Days_(GDD5)_midpoint, degree days,0 to 7015,growing degree days (on a 5 degrees C base) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Bioclimate_MTCO_MCR_weights.csv,Mean_Temperature_of_the_Coldest_Month_(MTCO)_midpoint,Celsius,-75.0 to 19.5,mean temperature of the coldest month (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Bioclimate_MTWA_MCR_weights.csv,Mean_Temperature_of_the_Warmest_Month_(MTWA)_midpoint,Celsius,0.9 to 36.1,mean temperature of the warmest month (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Bioclimate_Temperature_Maximum_MCR_weights.csv,Absolute_Maximum_Temperature_(TMAX)_midpoint,Celsius,18.1 to 51.5,absolute maximum temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Bioclimate_Temperature_Minimum_MCR_weights.csv,Absolute_Minimum_Temperature_(TMIN)_midpoint,Celsius,-75.0 to 0.7,absolute minimum temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_01_January_MCR_weights.csv,Mean_January_Total_Precipitation_(JANP)_midpoint,mm,0 to 512,mean January total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_02_February_MCR_weights.csv,Mean_February_Total_Precipitation_(FEBP)_midpoint,mm,0 to 414,mean February total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_03_March_MCR_weights.csv,Mean_March_Total_Precipitation_(MARP)_midpoint,mm,0 to 361,mean March total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_04_April_MCR_weights.csv,Mean_April_Total_Precipitation_(APRP)_midpoint,mm,0 to 315,mean April total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_05_May_MCR_weights.csv,Mean_May_Total_Precipitation_(MAYP)_midpoint,mm,0 to 274,mean May total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_06_June_MCR_weights.csv,Mean_June_Total_Precipitation_(JUNP)_midpoint,mm,0 to 260,mean June total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_07_July_MCR_weights.csv,Mean_July_Total_Precipitation_(JULP)_midpoint,mm,0 to 212,mean July total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_08_August_MCR_weights.csv,Mean_August_Total_Precipitation_(AUGP)_midpoint,mm,0 to 307,mean August total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_09_September_MCR_weights.csv,Mean_September_Total_Precipitation_(SEPP)_midpoint,mm,0 to 510,mean September total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_10_October_MCR_weights.csv,Mean_October_Total_Precipitation_(OCTP)_midpoint,mm,0 to 757,mean October total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_11_November_MCR_weights.csv,Mean_November_Total_Precipitation_(NOVP)_midpoint,mm,0 to 595,mean November total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_12_December_MCR_weights.csv,Mean_December_Total_Precipitation_(DECP)_midpoint,mm,0 to 555,mean December total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Precipitation_Annual_MCR_weights.csv,Mean_Annual_Total_Precipitation_(ANNP)_midpoint,mm,30 to 4930,mean annual total precipitation (mm) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_01_January_MCR_weights.csv,Mean_January_Temperature_(JANT)_midpoint,Celsius,-33.4 to 19.5,mean January temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_02_February_MCR_weights.csv,Mean_February_Temperature_(FEBT)_midpoint,Celsius,-33.1 to 19.9,mean February temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_03_March_MCR_weights.csv,Mean_March_Temperature_(MART)_midpoint,Celsius,-30.6 to 21.8,mean March temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_04_April_MCR_weights.csv,Mean_April_Temperature_(APRT)_midpoint,Celsius,-22.8 to 25.0,mean April temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_05_May_MCR_weights.csv,Mean_May_Temperature_(MAYT)_midpoint,Celsius,-10.3 to 27.2,mean May temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
